Name,Year,Source,Population,Square_Kilometres,Population_per_square_kilometre
Barking and Dagenham,2007,ONS MYE,169031,36.1,4681.3
Barking and Dagenham,2008,ONS MYE,172452,36.1,4776.0
Barking and Dagenham,2009,ONS MYE,177580,36.1,4918.0
Barking and Dagenham,2010,ONS MYE,182838,36.1,5063.7
Barking and Dagenham,2011,GLA Population Projections,187418,36.1,5190.5
Barking and Dagenham,2012,GLA Population Projections,190949,36.1,5288.3
Barking and Dagenham,2013,GLA Population Projections,194741,36.1,5393.3
Barking and Dagenham,2014,GLA Population Projections,198683,36.1,5502.5
Barking and Dagenham,2015,GLA Population Projections,202368,36.1,5604.5
Barking and Dagenham,2016,GLA Population Projections,206849,36.1,5728.6
Barking and Dagenham,2017,GLA Population Projections,210513,36.1,5830.1
Barking and Dagenham,2018,GLA Population Projections,212773,36.1,5892.7
Barking and Dagenham,2019,GLA Population Projections,214858,36.1,5950.5
Barking and Dagenham,2020,GLA Population Projections,218367,36.1,6047.6
Barking and Dagenham,2021,GLA Population Projections,221495,36.1,6134.3
Barking and Dagenham,2022,GLA Population Projections,224407,36.1,6214.9
Barking and Dagenham,2023,GLA Population Projections,226988,36.1,6286.4
Barking and Dagenham,2024,GLA Population Projections,229337,36.1,6351.5
Barking and Dagenham,2025,GLA Population Projections,234317,36.1,6489.4
Barking and Dagenham,2026,GLA Population Projections,239301,36.1,6627.4
Barking and Dagenham,2027,GLA Population Projections,244088,36.1,6760.0
Barking and Dagenham,2028,GLA Population Projections,248726,36.1,6888.4
Barking and Dagenham,2029,GLA Population Projections,253501,36.1,7020.7
Barking and Dagenham,2030,GLA Population Projections,260560,36.1,7216.2
Barking and Dagenham,2031,GLA Population Projections,267130,36.1,7398.1
Barking and Dagenham,2032,GLA Population Projections,273369,36.1,7570.9
Barking and Dagenham,2033,GLA Population Projections,279501,36.1,7740.7
Barking and Dagenham,2034,GLA Population Projections,285672,36.1,7911.6
Barking and Dagenham,2035,GLA Population Projections,290428,36.1,8043.4
Barking and Dagenham,2036,GLA Population Projections,294770,36.1,8163.6
Barking and Dagenham,2037,GLA Population Projections,298772,36.1,8274.4
Barking and Dagenham,2038,GLA Population Projections,302771,36.1,8385.2
Barking and Dagenham,2039,GLA Population Projections,306813,36.1,8497.1
Barking and Dagenham,2040,GLA Population Projections,311674,36.1,8631.8
Barking and Dagenham,2041,GLA Population Projections,316582,36.1,8767.7
Barking and Dagenham,2042,GLA Population Projections,317267,36.1,8786.7
Barking and Dagenham,2043,GLA Population Projections,317574,36.1,8795.2
Barking and Dagenham,2044,GLA Population Projections,317811,36.1,8801.7
Barking and Dagenham,2045,GLA Population Projections,318243,36.1,8813.7
Barking and Dagenham,2046,GLA Population Projections,318881,36.1,8831.4
Barking and Dagenham,2047,GLA Population Projections,319622,36.1,8851.9
Barking and Dagenham,2048,GLA Population Projections,320408,36.1,8873.6
Barking and Dagenham,2049,GLA Population Projections,321349,36.1,8899.7
Barking and Dagenham,2050,GLA Population Projections,322490,36.1,8931.3
Barnet,1999,ONS MYE,313469,86.7,3613.5
Barnet,2000,ONS MYE,315784,86.7,3640.2
Barnet,2001,ONS MYE,319481,86.7,3682.8
Barnet,2002,ONS MYE,320552,86.7,3695.2
Barnet,2003,ONS MYE,321802,86.7,3709.6
Barnet,2004,ONS MYE,323723,86.7,3731.7
Barnet,2005,ONS MYE,327541,86.7,3775.8
Barnet,2006,ONS MYE,330801,86.7,3813.3
Barnet,2007,ONS MYE,334837,86.7,3859.9
Barnet,2008,ONS MYE,339212,86.7,3910.3
Barnet,2009,ONS MYE,345829,86.7,3986.6
Barnet,2010,ONS MYE,351438,86.7,4051.2
Barnet,2011,GLA Population Projections,357653,86.7,4122.9
Barnet,2012,GLA Population Projections,364071,86.7,4196.9
Barnet,2013,GLA Population Projections,369203,86.7,4256.0
Barnet,2014,GLA Population Projections,375030,86.7,4323.2
Barnet,2015,GLA Population Projections,379806,86.7,4378.3
Barnet,2016,GLA Population Projections,386198,86.7,4451.9
Barnet,2017,GLA Population Projections,391446,86.7,4512.4
Barnet,2018,GLA Population Projections,397049,86.7,4577.0
Barnet,2019,GLA Population Projections,402363,86.7,4638.3
Barnet,2020,GLA Population Projections,407148,86.7,4693.4
Barnet,2021,GLA Population Projections,411275,86.7,4741.0
Barnet,2022,GLA Population Projections,415041,86.7,4784.4
Barnet,2023,GLA Population Projections,418291,86.7,4821.9
Barnet,2024,GLA Population Projections,420924,86.7,4852.2
Barnet,2025,GLA Population Projections,422894,86.7,4875.0
Barnet,2026,GLA Population Projections,424509,86.7,4893.6
Barnet,2027,GLA Population Projections,426267,86.7,4913.8
Barnet,2028,GLA Population Projections,431140,86.7,4970.0
Barnet,2029,GLA Population Projections,436032,86.7,5026.4
Barnet,2030,GLA Population Projections,438006,86.7,5049.2
Barnet,2031,GLA Population Projections,439515,86.7,5066.6
Barnet,2032,GLA Population Projections,441391,86.7,5088.2
Barnet,2033,GLA Population Projections,443373,86.7,5111.0
Barnet,2034,GLA Population Projections,445344,86.7,5133.7
Barnet,2035,GLA Population Projections,448191,86.7,5166.6
Barnet,2036,GLA Population Projections,451348,86.7,5203.0
Barnet,2037,GLA Population Projections,454571,86.7,5240.1
Barnet,2038,GLA Population Projections,457814,86.7,5277.5
Barnet,2039,GLA Population Projections,461003,86.7,5314.3
Barnet,2040,GLA Population Projections,463879,86.7,5347.4
Barnet,2041,GLA Population Projections,466528,86.7,5377.9
Barnet,2042,GLA Population Projections,469995,86.7,5417.9
Barnet,2043,GLA Population Projections,473740,86.7,5461.1
Barnet,2044,GLA Population Projections,477659,86.7,5506.3
Barnet,2045,GLA Population Projections,481750,86.7,5553.4
Barnet,2046,GLA Population Projections,486023,86.7,5602.7
Barnet,2047,GLA Population Projections,490329,86.7,5652.3
Barnet,2048,GLA Population Projections,494586,86.7,5701.4
Barnet,2049,GLA Population Projections,498953,86.7,5751.7
Barnet,2050,GLA Population Projections,503490,86.7,5804.0
Bexley,1999,ONS MYE,217458,60.6,3589.6
Bexley,2000,ONS MYE,218717,60.6,3610.3
Bexley,2001,ONS MYE,218757,60.6,3611.0
Bexley,2002,ONS MYE,219123,60.6,3617.0
Bexley,2003,ONS MYE,220016,60.6,3631.8
Bexley,2004,ONS MYE,220917,60.6,3646.7
Bexley,2005,ONS MYE,222391,60.6,3671.0
Bexley,2006,ONS MYE,223280,60.6,3685.7
Bexley,2007,ONS MYE,224625,60.6,3707.9
Bexley,2008,ONS MYE,226652,60.6,3741.3
Bexley,2009,ONS MYE,228146,60.6,3766.0
Bexley,2010,ONS MYE,230711,60.6,3808.3
Bexley,2011,GLA Population Projections,233002,60.6,3846.1
Bexley,2012,GLA Population Projections,234499,60.6,3870.9
Bexley,2013,GLA Population Projections,236915,60.6,3910.7
Bexley,2014,GLA Population Projections,240093,60.6,3963.2
Bexley,2015,GLA Population Projections,242370,60.6,4000.8
Bexley,2016,GLA Population Projections,244988,60.6,4044.0
Bexley,2017,GLA Population Projections,247179,60.6,4080.2
Bexley,2018,GLA Population Projections,249999,60.6,4126.7
Bexley,2019,GLA Population Projections,252885,60.6,4174.4
Bexley,2020,GLA Population Projections,254970,60.6,4208.8
Bexley,2021,GLA Population Projections,256845,60.6,4239.7
Bexley,2022,GLA Population Projections,258607,60.6,4268.8
Bexley,2023,GLA Population Projections,260232,60.6,4295.6
Bexley,2024,GLA Population Projections,262798,60.6,4338.0
Bexley,2025,GLA Population Projections,265249,60.6,4378.4
Bexley,2026,GLA Population Projections,267652,60.6,4418.1
Bexley,2027,GLA Population Projections,270003,60.6,4456.9
Bexley,2028,GLA Population Projections,272252,60.6,4494.0
Bexley,2029,GLA Population Projections,274487,60.6,4530.9
Bexley,2030,GLA Population Projections,276493,60.6,4564.0
Bexley,2031,GLA Population Projections,278017,60.6,4589.2
Bexley,2032,GLA Population Projections,279349,60.6,4611.2
Bexley,2033,GLA Population Projections,280577,60.6,4631.5
Bexley,2034,GLA Population Projections,281762,60.6,4651.0
Bexley,2035,GLA Population Projections,283461,60.6,4679.1
Bexley,2036,GLA Population Projections,285385,60.6,4710.8
Bexley,2037,GLA Population Projections,287373,60.6,4743.6
Bexley,2038,GLA Population Projections,289399,60.6,4777.1
Bexley,2039,GLA Population Projections,291406,60.6,4810.2
Bexley,2040,GLA Population Projections,293227,60.6,4840.3
Bexley,2041,GLA Population Projections,294925,60.6,4868.3
Bexley,2042,GLA Population Projections,297138,60.6,4904.8
Bexley,2043,GLA Population Projections,299505,60.6,4943.9
Bexley,2044,GLA Population Projections,301953,60.6,4984.3
Bexley,2045,GLA Population Projections,303673,60.6,5012.7
Bexley,2046,GLA Population Projections,303924,60.6,5016.8
Bexley,2047,GLA Population Projections,304088,60.6,5019.6
Bexley,2048,GLA Population Projections,304201,60.6,5021.4
Bexley,2049,GLA Population Projections,304411,60.6,5024.9
Bexley,2050,GLA Population Projections,304657,60.6,5028.9
Brent,1999,ONS MYE,260317,43.2,6021.3
Brent,2000,ONS MYE,264945,43.2,6128.4
Brent,2001,ONS MYE,269620,43.2,6236.5
Brent,2002,ONS MYE,269871,43.2,6242.3
Brent,2003,ONS MYE,268323,43.2,6206.5
Brent,2004,ONS MYE,268335,43.2,6206.8
Brent,2005,ONS MYE,270939,43.2,6267.0
Brent,2006,ONS MYE,276504,43.2,6395.7
Brent,2007,ONS MYE,283273,43.2,6552.3
Brent,2008,ONS MYE,290901,43.2,6728.7
Brent,2009,ONS MYE,298118,43.2,6895.7
Brent,2010,ONS MYE,304785,43.2,7049.9
Brent,2011,GLA Population Projections,313084,43.2,7241.8
Brent,2012,GLA Population Projections,315499,43.2,7297.7
Brent,2013,GLA Population Projections,318103,43.2,7357.9
Brent,2014,GLA Population Projections,321601,43.2,7438.8
Brent,2015,GLA Population Projections,324851,43.2,7514.0
Brent,2016,GLA Population Projections,329093,43.2,7612.1
Brent,2017,GLA Population Projections,332750,43.2,7696.7
Brent,2018,GLA Population Projections,336859,43.2,7791.8
Brent,2019,GLA Population Projections,340710,43.2,7880.9
Brent,2020,GLA Population Projections,343853,43.2,7953.6
Brent,2021,GLA Population Projections,346437,43.2,8013.3
Brent,2022,GLA Population Projections,348783,43.2,8067.6
Brent,2023,GLA Population Projections,350714,43.2,8112.3
Brent,2024,GLA Population Projections,353130,43.2,8168.1
Brent,2025,GLA Population Projections,358170,43.2,8284.7
Brent,2026,GLA Population Projections,363285,43.2,8403.0
Brent,2027,GLA Population Projections,368396,43.2,8521.2
Brent,2028,GLA Population Projections,373445,43.2,8638.0
Brent,2029,GLA Population Projections,378557,43.2,8756.3
Brent,2030,GLA Population Projections,382415,43.2,8845.5
Brent,2031,GLA Population Projections,385760,43.2,8922.9
Brent,2032,GLA Population Projections,388788,43.2,8992.9
Brent,2033,GLA Population Projections,391791,43.2,9062.4
Brent,2034,GLA Population Projections,394795,43.2,9131.9
Brent,2035,GLA Population Projections,395877,43.2,9156.9
Brent,2036,GLA Population Projections,396410,43.2,9169.2
Brent,2037,GLA Population Projections,396914,43.2,9180.9
Brent,2038,GLA Population Projections,397614,43.2,9197.1
Brent,2039,GLA Population Projections,398411,43.2,9215.5
Brent,2040,GLA Population Projections,399034,43.2,9229.9
Brent,2041,GLA Population Projections,400066,43.2,9253.8
Brent,2042,GLA Population Projections,401368,43.2,9283.9
Brent,2043,GLA Population Projections,402989,43.2,9321.4
Brent,2044,GLA Population Projections,404815,43.2,9363.6
Brent,2045,GLA Population Projections,406836,43.2,9410.4
Brent,2046,GLA Population Projections,409054,43.2,9461.7
Brent,2047,GLA Population Projections,411338,43.2,9514.5
Brent,2048,GLA Population Projections,413613,43.2,9567.1
Brent,2049,GLA Population Projections,416017,43.2,9622.8
Brent,2050,GLA Population Projections,418595,43.2,9682.4
Bromley,1999,ONS MYE,294902,150.1,1964.2
Bromley,2000,ONS MYE,295317,150.1,1967.0
Bromley,2001,ONS MYE,296218,150.1,1973.0
Bromley,2002,ONS MYE,296668,150.1,1976.0
Bromley,2003,ONS MYE,297253,150.1,1979.9
Bromley,2004,ONS MYE,297307,150.1,1980.3
Bromley,2005,ONS MYE,299421,150.1,1994.3
Bromley,2006,ONS MYE,300963,150.1,2004.6
Bromley,2007,ONS MYE,302625,150.1,2015.7
Bromley,2008,ONS MYE,304968,150.1,2031.3
Bromley,2009,ONS MYE,306924,150.1,2044.3
Bromley,2010,ONS MYE,308560,150.1,2055.2
Bromley,2011,GLA Population Projections,311110,150.1,2072.2
Bromley,2012,GLA Population Projections,314592,150.1,2095.4
Bromley,2013,GLA Population Projections,318455,150.1,2121.1
Bromley,2014,GLA Population Projections,321834,150.1,2143.6
Bromley,2015,GLA Population Projections,325413,150.1,2167.5
Bromley,2016,GLA Population Projections,327445,150.1,2181.0
Bromley,2017,GLA Population Projections,330909,150.1,2204.1
Bromley,2018,GLA Population Projections,332733,150.1,2216.2
Bromley,2019,GLA Population Projections,334292,150.1,2226.6
Bromley,2020,GLA Population Projections,336395,150.1,2240.6
Bromley,2021,GLA Population Projections,339466,150.1,2261.1
Bromley,2022,GLA Population Projections,342548,150.1,2281.6
Bromley,2023,GLA Population Projections,345216,150.1,2299.4
Bromley,2024,GLA Population Projections,347455,150.1,2314.3
Bromley,2025,GLA Population Projections,349207,150.1,2326.0
Bromley,2026,GLA Population Projections,350694,150.1,2335.9
Bromley,2027,GLA Population Projections,351840,150.1,2343.5
Bromley,2028,GLA Population Projections,353322,150.1,2353.4
Bromley,2029,GLA Population Projections,355195,150.1,2365.8
Bromley,2030,GLA Population Projections,356489,150.1,2374.5
Bromley,2031,GLA Population Projections,358289,150.1,2386.4
Bromley,2032,GLA Population Projections,360298,150.1,2399.8
Bromley,2033,GLA Population Projections,362341,150.1,2413.4
Bromley,2034,GLA Population Projections,364344,150.1,2426.8
Bromley,2035,GLA Population Projections,366962,150.1,2444.2
Bromley,2036,GLA Population Projections,369808,150.1,2463.2
Bromley,2037,GLA Population Projections,372703,150.1,2482.5
Bromley,2038,GLA Population Projections,374053,150.1,2491.4
Bromley,2039,GLA Population Projections,374843,150.1,2496.7
Bromley,2040,GLA Population Projections,375433,150.1,2500.6
Bromley,2041,GLA Population Projections,376074,150.1,2504.9
Bromley,2042,GLA Population Projections,376780,150.1,2509.6
Bromley,2043,GLA Population Projections,377125,150.1,2511.9
Bromley,2044,GLA Population Projections,377399,150.1,2513.7
Bromley,2045,GLA Population Projections,377690,150.1,2515.7
Bromley,2046,GLA Population Projections,377998,150.1,2517.7
Bromley,2047,GLA Population Projections,378210,150.1,2519.1
Bromley,2048,GLA Population Projections,378364,150.1,2520.2
Bromley,2049,GLA Population Projections,378635,150.1,2522.0
Bromley,2050,GLA Population Projections,378948,150.1,2524.1
Camden,1999,ONS MYE,190003,21.8,8720.0
Camden,2000,ONS MYE,196174,21.8,9003.2
Camden,2001,ONS MYE,202567,21.8,9296.6
Camden,2002,ONS MYE,203972,21.8,9361.1
Camden,2003,ONS MYE,204254,21.8,9374.1
Camden,2004,ONS MYE,207341,21.8,9515.7
Camden,2005,ONS MYE,211088,21.8,9687.7
Camden,2006,ONS MYE,211032,21.8,9685.1
Camden,2007,ONS MYE,211520,21.8,9707.5
Camden,2008,ONS MYE,210273,21.8,9650.3
Camden,2009,ONS MYE,212924,21.8,9772.0
Camden,2010,ONS MYE,214725,21.8,9854.6
Camden,2011,GLA Population Projections,220087,21.8,10100.7
Camden,2012,GLA Population Projections,224961,21.8,10324.4
Camden,2013,GLA Population Projections,229718,21.8,10542.7
Camden,2014,GLA Population Projections,234845,21.8,10778.0
Camden,2015,GLA Population Projections,241058,21.8,11063.1
Camden,2016,GLA Population Projections,246180,21.8,11298.2
Camden,2017,GLA Population Projections,249556,21.8,11453.1
Camden,2018,GLA Population Projections,252637,21.8,11594.5
Camden,2019,GLA Population Projections,255526,21.8,11727.1
Camden,2020,GLA Population Projections,257384,21.8,11812.4
Camden,2021,GLA Population Projections,259344,21.8,11902.4
Camden,2022,GLA Population Projections,261082,21.8,11982.1
Camden,2023,GLA Population Projections,262494,21.8,12046.9
Camden,2024,GLA Population Projections,263550,21.8,12095.4
Camden,2025,GLA Population Projections,264300,21.8,12129.8
Camden,2026,GLA Population Projections,264913,21.8,12157.9
Camden,2027,GLA Population Projections,265335,21.8,12177.3
Camden,2028,GLA Population Projections,265446,21.8,12182.4
Camden,2029,GLA Population Projections,265349,21.8,12178.0
Camden,2030,GLA Population Projections,266386,21.8,12225.5
Camden,2031,GLA Population Projections,267884,21.8,12294.3
Camden,2032,GLA Population Projections,269417,21.8,12364.6
Camden,2033,GLA Population Projections,270854,21.8,12430.6
Camden,2034,GLA Population Projections,272206,21.8,12492.6
Camden,2035,GLA Population Projections,274188,21.8,12583.6
Camden,2036,GLA Population Projections,276315,21.8,12681.2
Camden,2037,GLA Population Projections,278397,21.8,12776.8
Camden,2038,GLA Population Projections,280405,21.8,12868.9
Camden,2039,GLA Population Projections,282304,21.8,12956.1
Camden,2040,GLA Population Projections,283914,21.8,13030.0
Camden,2041,GLA Population Projections,285322,21.8,13094.6
Camden,2042,GLA Population Projections,287315,21.8,13186.1
Camden,2043,GLA Population Projections,289439,21.8,13283.5
Camden,2044,GLA Population Projections,291607,21.8,13383.0
Camden,2045,GLA Population Projections,293811,21.8,13484.2
Camden,2046,GLA Population Projections,296065,21.8,13587.6
Camden,2047,GLA Population Projections,298274,21.8,13689.0
Camden,2048,GLA Population Projections,300394,21.8,13786.3
Camden,2049,GLA Population Projections,302554,21.8,13885.4
Camden,2050,GLA Population Projections,304798,21.8,13988.4
Croydon,1999,ONS MYE,332066,86.5,3838.8
Croydon,2000,ONS MYE,334241,86.5,3863.9
Croydon,2001,ONS MYE,335112,86.5,3874.0
Croydon,2002,ONS MYE,335415,86.5,3877.5
Croydon,2003,ONS MYE,335919,86.5,3883.3
Croydon,2004,ONS MYE,337134,86.5,3897.3
Croydon,2005,ONS MYE,339052,86.5,3919.5
Croydon,2006,ONS MYE,340449,86.5,3935.7
Croydon,2007,ONS MYE,344029,86.5,3977.0
Croydon,2008,ONS MYE,349308,86.5,4038.1
Croydon,2009,ONS MYE,352763,86.5,4078.0
Croydon,2010,ONS MYE,357951,86.5,4138.0
Croydon,2011,GLA Population Projections,364815,86.5,4217.3
Croydon,2012,GLA Population Projections,368886,86.5,4264.4
Croydon,2013,GLA Population Projections,372752,86.5,4309.1
Croydon,2014,GLA Population Projections,376040,86.5,4347.1
Croydon,2015,GLA Population Projections,379031,86.5,4381.7
Croydon,2016,GLA Population Projections,382304,86.5,4419.5
Croydon,2017,GLA Population Projections,386346,86.5,4466.2
Croydon,2018,GLA Population Projections,391296,86.5,4523.5
Croydon,2019,GLA Population Projections,396548,86.5,4584.2
Croydon,2020,GLA Population Projections,400272,86.5,4627.2
Croydon,2021,GLA Population Projections,403461,86.5,4664.1
Croydon,2022,GLA Population Projections,406399,86.5,4698.1
Croydon,2023,GLA Population Projections,411580,86.5,4758.0
Croydon,2024,GLA Population Projections,416582,86.5,4815.8
Croydon,2025,GLA Population Projections,421090,86.5,4867.9
Croydon,2026,GLA Population Projections,425612,86.5,4920.2
Croydon,2027,GLA Population Projections,430009,86.5,4971.0
Croydon,2028,GLA Population Projections,434268,86.5,5020.2
Croydon,2029,GLA Population Projections,438586,86.5,5070.1
Croydon,2030,GLA Population Projections,441922,86.5,5108.7
Croydon,2031,GLA Population Projections,444573,86.5,5139.4
Croydon,2032,GLA Population Projections,446938,86.5,5166.7
Croydon,2033,GLA Population Projections,449170,86.5,5192.5
Croydon,2034,GLA Population Projections,451309,86.5,5217.2
Croydon,2035,GLA Population Projections,452477,86.5,5230.7
Croydon,2036,GLA Population Projections,454085,86.5,5249.3
Croydon,2037,GLA Population Projections,455882,86.5,5270.1
Croydon,2038,GLA Population Projections,457804,86.5,5292.3
Croydon,2039,GLA Population Projections,459759,86.5,5314.9
Croydon,2040,GLA Population Projections,461477,86.5,5334.8
Croydon,2041,GLA Population Projections,463028,86.5,5352.7
Croydon,2042,GLA Population Projections,465412,86.5,5380.3
Croydon,2043,GLA Population Projections,468103,86.5,5411.4
Croydon,2044,GLA Population Projections,470970,86.5,5444.5
Croydon,2045,GLA Population Projections,474016,86.5,5479.7
Croydon,2046,GLA Population Projections,477261,86.5,5517.2
Croydon,2047,GLA Population Projections,480573,86.5,5555.5
Croydon,2048,GLA Population Projections,483864,86.5,5593.6
Croydon,2049,GLA Population Projections,487291,86.5,5633.2
Croydon,2050,GLA Population Projections,490900,86.5,5674.9
Ealing,1999,ONS MYE,302252,55.5,5441.6
Ealing,2000,ONS MYE,304370,55.5,5479.8
Ealing,2001,ONS MYE,307276,55.5,5532.1
Ealing,2002,ONS MYE,309242,55.5,5567.5
Ealing,2003,ONS MYE,308108,55.5,5547.1
Ealing,2004,ONS MYE,310073,55.5,5582.4
Ealing,2005,ONS MYE,312774,55.5,5631.1
Ealing,2006,ONS MYE,315329,55.5,5677.1
Ealing,2007,ONS MYE,318671,55.5,5737.2
Ealing,2008,ONS MYE,324022,55.5,5833.6
Ealing,2009,ONS MYE,329966,55.5,5940.6
Ealing,2010,ONS MYE,334073,55.5,6014.5
Ealing,2011,GLA Population Projections,339665,55.5,6115.2
Ealing,2012,GLA Population Projections,341022,55.5,6139.6
Ealing,2013,GLA Population Projections,342845,55.5,6172.5
Ealing,2014,GLA Population Projections,342469,55.5,6165.7
Ealing,2015,GLA Population Projections,343410,55.5,6182.6
Ealing,2016,GLA Population Projections,343547,55.5,6185.1
Ealing,2017,GLA Population Projections,347126,55.5,6249.5
Ealing,2018,GLA Population Projections,350784,55.5,6315.4
Ealing,2019,GLA Population Projections,354184,55.5,6376.6
Ealing,2020,GLA Population Projections,361833,55.5,6514.3
Ealing,2021,GLA Population Projections,369685,55.5,6655.7
Ealing,2022,GLA Population Projections,377916,55.5,6803.9
Ealing,2023,GLA Population Projections,385818,55.5,6946.1
Ealing,2024,GLA Population Projections,393434,55.5,7083.2
Ealing,2025,GLA Population Projections,397010,55.5,7147.6
Ealing,2026,GLA Population Projections,400552,55.5,7211.4
Ealing,2027,GLA Population Projections,404119,55.5,7275.6
Ealing,2028,GLA Population Projections,407659,55.5,7339.3
Ealing,2029,GLA Population Projections,411269,55.5,7404.3
Ealing,2030,GLA Population Projections,413618,55.5,7446.6
Ealing,2031,GLA Population Projections,415296,55.5,7476.8
Ealing,2032,GLA Population Projections,416744,55.5,7502.9
Ealing,2033,GLA Population Projections,418140,55.5,7528.0
Ealing,2034,GLA Population Projections,419546,55.5,7553.4
Ealing,2035,GLA Population Projections,420107,55.5,7563.5
Ealing,2036,GLA Population Projections,420144,55.5,7564.1
Ealing,2037,GLA Population Projections,420211,55.5,7565.3
Ealing,2038,GLA Population Projections,420540,55.5,7571.3
Ealing,2039,GLA Population Projections,421017,55.5,7579.8
Ealing,2040,GLA Population Projections,421356,55.5,7585.9
Ealing,2041,GLA Population Projections,421832,55.5,7594.5
Ealing,2042,GLA Population Projections,422957,55.5,7614.8
Ealing,2043,GLA Population Projections,424400,55.5,7640.7
Ealing,2044,GLA Population Projections,426041,55.5,7670.3
Ealing,2045,GLA Population Projections,427873,55.5,7703.3
Ealing,2046,GLA Population Projections,429905,55.5,7739.9
Ealing,2047,GLA Population Projections,432006,55.5,7777.7
Ealing,2048,GLA Population Projections,434102,55.5,7815.4
Ealing,2049,GLA Population Projections,436340,55.5,7855.7
Ealing,2050,GLA Population Projections,438773,55.5,7899.5
Enfield,1999,ONS MYE,272731,80.8,3374.0
Enfield,2000,ONS MYE,275068,80.8,3403.0
Enfield,2001,ONS MYE,277266,80.8,3430.2
Enfield,2002,ONS MYE,280745,80.8,3473.2
Enfield,2003,ONS MYE,281835,80.8,3486.7
Enfield,2004,ONS MYE,282217,80.8,3491.4
Enfield,2005,ONS MYE,284779,80.8,3523.1
Enfield,2006,ONS MYE,287429,80.8,3555.9
Enfield,2007,ONS MYE,291534,80.8,3606.7
Enfield,2008,ONS MYE,297443,80.8,3679.8
Enfield,2009,ONS MYE,301971,80.8,3735.8
Enfield,2010,ONS MYE,307648,80.8,3806.0
Enfield,2011,GLA Population Projections,314011,80.8,3884.7
Enfield,2012,GLA Population Projections,317363,80.8,3926.2
Enfield,2013,GLA Population Projections,320600,80.8,3966.3
Enfield,2014,GLA Population Projections,324650,80.8,4016.4
Enfield,2015,GLA Population Projections,328509,80.8,4064.1
